title,brand,description,price,inventory,category,image_1,image_2,image_3,image_4
SteelSeries Arctis 9 Wireless,SteelSeries,Lossless 2.4 GHz wireless for lag-free high fidelity gaming audio on PC and PlayStation,199.99,15,headset,https://media.steelseriescdn.com/thumbs/filer_public/8b/17/8b171823-796a-4496-8cbc-b7a7ce71b626/a9_buyimg_01.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/75/26/7526b52c-d053-4de9-864a-e738cd734162/a9_buyimg_02.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/41/66/4166f32d-6d6f-4cca-a07f-0bd7ba7895c7/a9_buyimg_05.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/4c/87/4c87a534-b540-42f1-b96b-ecef3ed90683/a9_buyimg_04.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Arctis 7+,SteelSeries,Multi-Platform USB-C Gaming Headset,169.99,20,headset,https://media.steelseriescdn.com/thumbs/filer_public/c2/1b/c21befa5-ed69-4757-a445-5b9fd672a5de/imgbuy_arctis_7_black_2.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/17/98/1798746a-d132-446b-9740-6f25c4ad590e/imgbuy_arctis_7_black_3.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/e3/20/e3206eec-2ec4-49d3-b4fc-e21c9ecce6af/imgbuy_arctis_7_black_4.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/cf/5c/cf5c8bce-4373-4676-a5d8-f0398844dfa4/imgbuy_arctis_7_black_5.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Arctis Prime,SteelSeries,Advanced high fidelity audio drivers with the same premium hardware and tuning from the Arctis Pro,99.99,15,headset,https://media.steelseriescdn.com/thumbs/filer_public/5f/65/5f653b71-d507-4543-b3de-1e7c303bef7f/buyimg_arctis_prime_001.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/fd/cd/fdcd216f-8d08-42c0-b9c0-9fbc95463746/buyimg_arctis_prime_003.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/ad/5c/ad5ca2da-fd69-488a-92a9-554eff99dd3f/buyimg_arctis_prime_005.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/fb/b3/fbb3ec6c-3aff-4d48-8fbc-e41b88c32ddb/buyimg_arctis_prime_006.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Arctis Pro,SteelSeries,Peerless High Resolution PC Gaming Headset,179.99,15,headset,https://media.steelseriescdn.com/thumbs/filer_public/6e/0e/6e0e5ad5-b83c-46af-bd9b-b632e9fd0c18/purchase-gallery-apro-hero.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/4c/d2/4cd24238-f474-4766-b6dc-6b80113b1e7e/purchase-gallery-apro-side.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/73/27/7327d9e8-638a-4ad8-92b7-a5fe18076c5c/arctispro_pkg_render_front.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/b9/16/b9161145-1ceb-415e-a044-70721cf2dad5/purchase-gallery-apro-front.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Aerox 5,SteelSeries,"Ergonomic 9-button programmable layout with 5 quick-action side buttons, including our unique up/down flick switch.",79.99,15,mice,https://media.steelseriescdn.com/thumbs/filer_public/b9/45/b945b443-38c2-4e5a-883a-ba3b4ef80920/aerox_5_black_pdp_buyimg_1.png__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/08/a0/08a029ee-682b-4403-ad28-fc957507851a/aerox_5_black_pdp_buyimg_2.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/4d/fa/4dfa27fd-05db-47ec-81de-102bc9a6023e/aerox_5_black_pdp_buyimg_3.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/fd/01/fd017c37-4c73-4da9-ab5d-ee34d0cbdb2f/aerox_5_black_pdp_buyimg_5.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Aerox 5 Wireless,SteelSeries,"Ergonomic 9-button programmable layout with 5 quick action side buttons, including our unique up/down flick switch for fast and efficient in-game actions.",139.99,15,mice,https://media.steelseriescdn.com/thumbs/filer_public/e0/6a/e06ad71f-5f8c-4e97-ab22-a8b4f0f34a4a/aerox_5_wl_black_pdp_buyimg_1.png__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/ec/ce/ecceed79-0f4e-49aa-8621-d12375722c64/aerox_5_wl_black_pdp_buyimg_2.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/8d/de/8dde7103-1a6d-4f77-9efd-4ecead67f400/aerox_5_wl_black_pdp_buyimg_3.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/23/4e/234e7443-0c61-4761-8eba-586a736e5e41/aerox_5_wl_black_pdp_buyimg_5.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Aerox 9 Wireless,SteelSeries,"Ergonomic 18-button programmable layout with a 12-button side panel made for quick access to abilities and macros, in an easy-to-learn design.",149.99,15,mice,https://media.steelseriescdn.com/thumbs/filer_public/1f/8a/1f8ad834-8c94-42b0-ab1e-d1c3e6d34406/aerox_9_wl_black_pdp_buyimg_1.png__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/e2/65/e26551cd-1a94-49e9-9f28-09474ac1ee19/aerox_9_wl_black_pdp_buyimg_2.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/0a/c3/0ac36be6-0896-448e-bf06-2245711e9b3a/aerox_9_wl_black_pdp_buyimg_3.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/d2/23/d223203b-aafd-4a71-8d44-01c7cba62af5/aerox_9_wl_black_pdp_buyimg_5.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Prime Wireless,SteelSeries,Lightning fast Prestige OM™ switches deliver over 100M crispy clicks,129.99,15,mice,https://media.steelseriescdn.com/thumbs/filer_public/a5/9b/a59b15ff-18ad-45ee-bd79-89ae12e7c4f4/buyimg_prime_wl_001.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/92/24/9224d27a-4c49-4156-afbb-91db79f4ad6b/buyimg_prime_wl_004.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/59/56/59567c00-d73d-4a1f-aa1d-4b168075c9ed/buyimg_prime_wl_005.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/d3/b6/d3b6d5a4-a03e-48c0-a39e-2a953f11b703/buyimg_prime_wl_006.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Prime+,SteelSeries,Tournament-Ready Pro Series Gaming Mouse,79.99,15,mice,https://media.steelseriescdn.com/thumbs/filer_public/09/df/09df3c9a-e202-458d-9972-777767810a73/buyimg_prime__001.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/18/a7/18a71cff-6733-4492-9285-455e061545ba/buyimg_prime__004.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/3a/6f/3a6ff209-c401-463f-91e9-64c70d389311/buyimg_prime__005.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/90/d0/90d0a1ee-62b0-43d9-a1fe-34009209ff19/buyimg_prime__006.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Prime Mini Wireless,SteelSeries,Smaller. Lighter. All Performance.,129.99,15,mice,https://media.steelseriescdn.com/thumbs/filer_public/11/64/11647905-794d-42e4-a8e1-261844b589bd/buyimg_prime_mini_wl_001.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/11/39/11394dcd-d5d1-40a3-b0a3-a7cce95748d9/buyimg_prime_mini_wl_004.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/72/ec/72ec6590-39d6-40a9-90ad-ca40e023c005/buyimg_prime_mini_wl_006.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/31/c0/31c04edf-e9ba-42ad-99e5-5379f7292fc8/buyimg_prime_mini_wl_007.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Prime Mini,SteelSeries,Smaller. Lighter. All Performance.,59.99,15,mice,https://media.steelseriescdn.com/thumbs/filer_public/e5/4c/e54cb441-ed96-4cfa-9497-f5d3d44e98fd/buyimg_prime_mini_001.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/0b/1a/0b1aeefa-18be-4a42-8bf7-8e88774534f3/buyimg_prime_mini_004.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/53/3f/533ffeee-f06d-4839-9ec4-7fa252cbbfec/buyimg_prime_mini_006.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/26/11/26116fe3-b3e4-47dd-bb9c-a120ea9e5107/buyimg_prime_mini_007.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Rival 650 Wireless,SteelSeries,The First True Performance Wireless Mouse,119.99,15,mice,https://media.steelseriescdn.com/thumbs/filer_public/4a/e0/4ae04133-94a5-4a56-a408-943a60c8a21e/650wl_web_001.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/79/38/793810c0-be38-4840-ab60-0657e7ecd973/purchase-gallery-650wl-top.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/bd/28/bd280393-ef10-4e52-a1fa-1a257ee67777/650wl_web_002.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/45/43/45438f12-e793-4473-9b5e-38a8c56c72c6/r650_box-content-02.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg
SteelSeries Sensei Ten,SteelSeries,All-new TrueMove Pro sensor with the best tracking on any surface,69.99,15,mice,https://media.steelseriescdn.com/thumbs/filer_public/ca/8b/ca8b9bfc-a8be-4440-9761-9e3e0a97fd47/buyimg_senseiten_001.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/07/f0/07f0bb7b-904a-4ed6-9e69-85462ded0849/buyimg_senseiten_002.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/30/93/3093e643-f6a3-42f7-b4d5-80cfef79331a/buyimg_senseiten_005.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/df/02/df025f59-e317-4a6d-b689-75de9c59119a/buyimg_senseiten_006.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Apex Pro Mini Wireless,SteelSeries,World's fastest OmniPoint 2.0 adjustable switches with 11x quicker response and 10x swifter actuation,239.99,20,keyboard,https://media.steelseriescdn.com/thumbs/filer_public/3a/21/3a217cc4-5df7-4ada-8d14-fef6ce880296/apex_pro_mini_imgbuy_karrigan.png__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/4c/5b/4c5bf3dd-89f6-4212-829c-4243bec6c1f7/apex_pro_mini_imgbuy_2.png__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/0b/49/0b493bf8-515e-4fb1-bd02-96a7a6f47f48/apex_pro_mini_imgbuy_3.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/ab/bd/abbd139a-f924-44c8-9d54-8ba51f77d6e9/apex_pro_mini_imgbuy_4.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Apex Pro Mini,SteelSeries,World's fastest OmniPoint 2.0 adjustable switches with 11x quicker response and 10x swifter actuation,179.99,15,keyboard,https://media.steelseriescdn.com/thumbs/filer_public/b0/60/b0601d63-b264-4c05-9608-0d6494560a52/apex_pro_mini_imgbuy_1.png__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/a6/38/a638c92d-2896-4dc6-bf2b-997a1fb92cea/apex_pro_mini_imgbuy_3.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/56/54/56544651-79fa-4665-a4b9-f5f73098c1d1/apex_pro_mini_imgbuy_4.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/87/c2/87c28481-a759-4e58-87bb-54a219378a81/apex_pro_mini_imgbuy_5.png__1850x800_q100_crop-scale_optimize_subsampling-2.png
SteelSeries Apex Pro,SteelSeries,The Next Leap in Mechanical Keyboards,199.99,20,keyboard,https://media.steelseriescdn.com/thumbs/filer_public/47/4f/474f9d59-477d-4848-8474-439945debba7/buyimg_apexpro_001.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/df/a8/dfa81646-f4af-4a40-8c01-fec13488d1fc/buyimg_apexpro_006_us.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/64/84/6484ce5f-0df9-4bf1-8bdb-2da1da8e4f40/buyimg_apexpro_005.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/e4/8a/e48a0e84-08c7-456b-90df-1198b602ee2b/buyimg_apexpro_003.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg
SteelSeries Apex Pro TKL,SteelSeries,The Next Leap in Mechanical Keyboards,179.99,20,keyboard,https://media.steelseriescdn.com/thumbs/filer_public/17/44/17448271-50f6-43d2-b6d2-503b5c8ecd05/buyimg_apexprotkl_001_mar21.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/98/5c/985c9507-abf2-45d7-b530-bba5d30006dc/buyimg_apexprotkl_006_us.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/3b/3a/3b3aa318-5336-42fd-a36a-e4fb5b96c4ef/buyimg_apexprotkl_005.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/42/a0/42a017b6-c43c-4ca4-ad72-9f58e9bb8826/buyimg_apexprotkl_004_mar21.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg
SteelSeries Apex 7 TKL,SteelSeries,OLED Smart Display delivers information straight from games and apps,129.99,15,keyboard,https://media.steelseriescdn.com/thumbs/filer_public/0d/23/0d23e446-7d02-4092-bf2a-7263fd0ae0b3/buyimg_apex7tkl_001-v2.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/ca/59/ca59a8eb-5ca5-4f3f-b2bd-0780f3acbba5/buyimg_apex7tkl_003.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg,https://media.steelseriescdn.com/thumbs/filer_public/ea/dd/eaddae15-2362-4788-aca8-43b23c591773/buyimg_apex7tkl_006_us.png__1850x800_q100_crop-scale_optimize_subsampling-2.png,https://media.steelseriescdn.com/thumbs/filer_public/d1/6f/d16f3d11-38a6-4d9f-9f73-b13f1601614d/buyimg_apex7tkl_004.jpg__1850x800_q100_crop-scale_optimize_subsampling-2.jpg
Corsair K70 RGB Pro,Corsair,"The CORSAIR K70 RGB PRO Mechanical Gaming Keyboard delivers an iconic aluminum frame and even better performance, powered by CORSAIR AXON Hyper-Processing Technology.",179.99,15,keyboard,https://www.corsair.com/medias/sys_master/images/images/h56/h87/9955049570334/CH-9109414-NA/Gallery/K70_RGB_PRO_PBT_01/-CH-9109414-NA-Gallery-K70-RGB-PRO-PBT-01.png_1200Wx1200H,https://www.corsair.com/medias/sys_master/images/images/hf9/hc0/9955041706014/CH-9109414-NA/Gallery/K70_RGB_PRO_PBT_10/-CH-9109414-NA-Gallery-K70-RGB-PRO-PBT-10.png_1200Wx1200H,https://www.corsair.com/medias/sys_master/images/images/he1/h74/9950913265694/k70-rgb-pro-pbt-config/Gallery/K70_RGB_PRO_PBT_30/-k70-rgb-pro-pbt-config-Gallery-K70-RGB-PRO-PBT-30.png_1200Wx1200H,https://www.corsair.com/medias/sys_master/images/images/hbb/hd7/9950914052126/k70-rgb-pro-pbt-config/Gallery/K70_RGB_PRO_PBT_26/-k70-rgb-pro-pbt-config-Gallery-K70-RGB-PRO-PBT-26.png_1200Wx1200H
Corsair K55 RGB Pro,Corsair,The CORSAIR K55 RGB PRO Gaming Keyboard lights up your desktop with five-zone dynamic RGB backlighting and powers up your gameplay with six dedicated macro keys.,59.99,15,keyboard,https://www.corsair.com/medias/sys_master/images/images/hc7/hb8/9882677018654/CH-9226765-NA/Gallery/K55_RGB_PRO_01/-CH-9226765-NA-Gallery-K55-RGB-PRO-01.png_1200Wx1200H,https://www.corsair.com/medias/sys_master/images/images/hbc/h3a/9882620002334/CH-9226765-NA/Gallery/K55_RGB_PRO_07/-CH-9226765-NA-Gallery-K55-RGB-PRO-07.png_1200Wx1200H,https://www.corsair.com/medias/sys_master/images/images/h4f/hac/9882745438238/CH-9226765-NA/Gallery/K55_RGB_PRO_10/-CH-9226765-NA-Gallery-K55-RGB-PRO-10.png_1200Wx1200H,https://www.corsair.com/medias/sys_master/images/images/h39/hcd/9882694713374/CH-9226765-NA/Gallery/K55_RGB_PRO_16/-CH-9226765-NA-Gallery-K55-RGB-PRO-16.png_1200Wx1200H
Corsair K70 RGB MK.2 SE,Corsair,"The CORSAIR K70 RGB MK.2 SE is a premium mechanical gaming keyboard built to last, with silver aluminum frame, CHERRY® MX Speed keyswitches, white PBT double-shot keycaps and stunning per-key RGB dynamic backlighting.",179.99,15,keyboard,https://www.corsair.com/medias/sys_master/images/images/h00/h41/9112656445470/-CH-9109114-NA-Gallery-K70-RGB-MK2-SE-01.png,https://www.corsair.com/medias/sys_master/images/images/h83/hd2/9112655265822/-CH-9109114-NA-Gallery-K70-RGB-MK2-SE-02.png,https://www.corsair.com/medias/sys_master/images/images/h1d/h75/9112654413854/-CH-9109114-NA-Gallery-K70-RGB-MK2-SE-04.png,https://www.corsair.com/medias/sys_master/images/images/hb8/hd2/9112656576542/-CH-9109114-NA-Gallery-K70-RGB-MK2-SE-07.png
